Regional_District,Target_Type,Date,Data_Type,Completions_Value,PI_Lower_95,PI_Upper_95,Winning_Model,PI_Lower_80,PI_Upper_80,PI_Lower_50,PI_Upper_50,PI_Method
Fraser-Fort George,Total,2028-01-01,Forecast,15.6,0.0,781.0,Pooled Ridge v13,0.0,781.0,5.9,762.7,Empirical (burst-reported series)
Fraser-Fort George,Total,2028-02-01,Forecast,15.0,0.0,781.0,Pooled Ridge v13,0.0,781.0,5.3,762.1,Empirical (burst-reported series)
Fraser-Fort George,Total,2028-03-01,Forecast,14.5,0.0,781.0,Pooled Ridge v13,0.0,781.0,4.8,761.6,Empirical (burst-reported series)
Fraser-Fort George,Total,2028-04-01,Forecast,14.3,0.0,781.0,Pooled Ridge v13,0.0,781.0,4.6,761.4,Empirical (burst-reported series)
Fraser-Fort George,Total,2028-05-01,Forecast,14.2,0.0,781.0,Pooled Ridge v13,0.0,781.0,4.5,761.3,Empirical (burst-reported series)
Fraser-Fort George,Total,2028-06-01,Forecast,14.2,0.0,781.0,Pooled Ridge v13,0.0,781.0,4.5,761.3,Empirical (burst-reported series)
Fraser-Fort George,Total,2028-07-01,Forecast,14.3,0.0,781.0,Pooled Ridge v13,0.0,781.0,4.6,761.4,Empirical (burst-reported series)
Fraser-Fort George,Total,2028-08-01,Forecast,14.3,0.0,781.0,Pooled Ridge v13,0.0,781.0,4.6,761.4,Empirical (burst-reported series)
Fraser-Fort George,Total,2028-09-01,Forecast,14.3,0.0,781.0,Pooled Ridge v13,0.0,781.0,4.6,761.4,Empirical (burst-reported series)
Fraser-Fort George,Total,2028-10-01,Forecast,14.1,0.0,781.0,Pooled Ridge v13,0.0,781.0,4.4,761.2,Empirical (burst-reported series)
Fraser-Fort George,Total,2028-11-01,Forecast,13.8,0.0,781.0,Pooled Ridge v13,0.0,781.0,4.2,760.9,Empirical (burst-reported series)
Fraser-Fort George,Total,2028-12-01,Forecast,13.5,0.0,781.0,Pooled Ridge v13,0.0,781.0,3.9,760.6,Empirical (burst-reported series)
Metro Vancouver,Total,2020-01-01,Historical,2236.0,,,Pooled Ridge v13,,,,,
Metro Vancouver,Total,2020-02-01,Historical,2060.5,,,Pooled Ridge v13,,,,,
Metro Vancouver,Total,2020-03-01,Historical,2012.7,,,Pooled Ridge v13,,,,,
Metro Vancouver,Total,2020-04-01,Historical,2126.0,,,Pooled Ridge v13,,,,,
Metro Vancouver,Total,2020-05-01,Historical,2198.7,,,Pooled Ridge v13,,,,,
Metro Vancouver,Total,2020-06-01,Historical,2156.7,,,Pooled Ridge v13,,,,,
Metro Vancouver,Total,2020-07-01,Historical,1965.7,,,Pooled Ridge v13,,,,,
Metro Vancouver,Total,2020-08-01,Historical,1954.3,,,Pooled Ridge v13,,,,,
Metro Vancouver,Total,2020-09-01,Historical,1988.7,,,Pooled Ridge v13,,,,,
Metro Vancouver,Total,2020-10-01,Historical,1920.0,,,Pooled Ridge v13,,,,,
Metro Vancouver,Total,2020-11-01,Historical,1881.0,,,Pooled Ridge v13,,,,,
Metro Vancouver,Total,2020-12-01,Historical,1855.0,,,Pooled Ridge v13,,,,,
Metro Vancouver,Total,2021-01-01,Historical,1773.7,,,Pooled Ridge v13,,,,,
Metro Vancouver,Total,2021-02-01,Historical,1444.3,,,Pooled Ridge v13,,,,,
Metro Vancouver,Total,2021-03-01,Historical,1474.0,,,Pooled Ridge v13,,,,,
Metro Vancouver,Total,2021-04-01,Historical,1689.7,,,Pooled Ridge v13,,,,,
Metro Vancouver,Total,2021-05-01,Historical,1787.0,,,Pooled Ridge v13,,,,,
Metro Vancouver,Total,2021-06-01,Historical,2178.7,,,Pooled Ridge v13,,,,,
Metro Vancouver,Total,2021-07-01,Historical,2245.7,,,Pooled Ridge v13,,,,,
Metro Vancouver,Total,2021-08-01,Historical,2834.0,,,Pooled Ridge v13,,,,,
Metro Vancouver,Total,2021-09-01,Historical,2695.3,,,Pooled Ridge v13,,,,,
Metro Vancouver,Total,2021-10-01,Historical,2260.3,,,Pooled Ridge v13,,,,,
Metro Vancouver,Total,2021-11-01,Historical,2193.0,,,Pooled Ridge v13,,,,,
Metro Vancouver,Total,2021-12-01,Historical,2061.7,,,Pooled Ridge v13,,,,,
Metro Vancouver,Total,2022-01-01,Historical,2076.0,,,Pooled Ridge v13,,,,,
Metro Vancouver,Total,2022-02-01,Historical,1693.0,,,Pooled Ridge v13,,,,,
Metro Vancouver,Total,2022-03-01,Historical,1872.0,,,Pooled Ridge v13,,,,,
Metro Vancouver,Total,2022-04-01,Historical,2058.3,,,Pooled Ridge v13,,,,,
Metro Vancouver,Total,2022-05-01,Historical,2736.0,,,Pooled Ridge v13,,,,,
Metro Vancouver,Total,2022-06-01,Historical,2213.7,,,Pooled Ridge v13,,,,,
Metro Vancouver,Total,2022-07-01,Historical,2274.3,,,Pooled Ridge v13,,,,,
Metro Vancouver,Total,2022-08-01,Historical,1334.3,,,Pooled Ridge v13,,,,,
Metro Vancouver,Total,2022-09-01,Historical,1504.3,,,Pooled Ridge v13,,,,,
Metro Vancouver,Total,2022-10-01,Historical,1193.3,,,Pooled Ridge v13,,,,,
Metro Vancouver,Total,2022-11-01,Historical,1598.3,,,Pooled Ridge v13,,,,,
Metro Vancouver,Total,2022-12-01,Historical,1556.7,,,Pooled Ridge v13,,,,,
Metro Vancouver,Total,2023-01-01,Historical,1917.7,,,Pooled Ridge v13,,,,,
Metro Vancouver,Total,2023-02-01,Historical,1584.0,,,Pooled Ridge v13,,,,,
Metro Vancouver,Total,2023-03-01,Historical,1723.3,,,Pooled Ridge v13,,,,,
Metro Vancouver,Total,2023-04-01,Historical,1546.0,,,Pooled Ridge v13,,,,,
Metro Vancouver,Total,2023-05-01,Historical,1576.3,,,Pooled Ridge v13,,,,,
Metro Vancouver,Total,2023-06-01,Historical,1556.0,,,Pooled Ridge v13,,,,,
Metro Vancouver,Total,2023-07-01,Historical,1423.0,,,Pooled Ridge v13,,,,,
Metro Vancouver,Total,2023-08-01,Historical,2137.3,,,Pooled Ridge v13,,,,,
Metro Vancouver,Total,2023-09-01,Historical,1976.3,,,Pooled Ridge v13,,,,,
Metro Vancouver,Total,2023-10-01,Historical,2095.3,,,Pooled Ridge v13,,,,,
Metro Vancouver,Total,2023-11-01,Historical,1732.3,,,Pooled Ridge v13,,,,,
Metro Vancouver,Total,2023-12-01,Historical,1676.7,,,Pooled Ridge v13,,,,,
Metro Vancouver,Total,2024-01-01,Historical,1606.7,,,Pooled Ridge v13,,,,,
Metro Vancouver,Total,2024-02-01,Historical,1627.3,,,Pooled Ridge v13,,,,,
Metro Vancouver,Total,2024-03-01,Historical,1760.0,,,Pooled Ridge v13,,,,,
Metro Vancouver,Total,2024-04-01,Historical,2026.0,,,Pooled Ridge v13,,,,,
Metro Vancouver,Total,2024-05-01,Historical,1632.0,,,Pooled Ridge v13,,,,,
Metro Vancouver,Total,2024-06-01,Historical,1816.0,,,Pooled Ridge v13,,,,,
Metro Vancouver,Total,2024-07-01,Historical,1790.0,,,Pooled Ridge v13,,,,,
Metro Vancouver,Total,2024-08-01,Historical,2065.7,,,Pooled Ridge v13,,,,,
Metro Vancouver,Total,2024-09-01,Historical,2146.7,,,Pooled Ridge v13,,,,,
Metro Vancouver,Total,2024-10-01,Historical,2233.3,,,Pooled Ridge v13,,,,,
Metro Vancouver,Total,2024-11-01,Historical,2233.0,,,Pooled Ridge v13,,,,,
Metro Vancouver,Total,2024-12-01,Historical,2815.3,,,Pooled Ridge v13,,,,,
Metro Vancouver,Total,2025-01-01,Historical,2534.7,,,Pooled Ridge v13,,,,,
Metro Vancouver,Total,2025-02-01,Historical,2601.0,,,Pooled Ridge v13,,,,,
Metro Vancouver,Total,2025-03-01,Historical,1910.0,,,Pooled Ridge v13,,,,,
Metro Vancouver,Total,2025-04-01,Historical,2137.7,,,Pooled Ridge v13,,,,,
Metro Vancouver,Total,2025-05-01,Historical,2317.3,,,Pooled Ridge v13,,,,,
Metro Vancouver,Total,2025-06-01,Historical,2733.3,,,Pooled Ridge v13,,,,,
Metro Vancouver,Total,2025-07-01,Historical,2679.7,,,Pooled Ridge v13,,,,,
Metro Vancouver,Total,2025-08-01,Historical,2447.7,,,Pooled Ridge v13,,,,,
Metro Vancouver,Total,2025-09-01,Historical,2411.3,,,Pooled Ridge v13,,,,,
Metro Vancouver,Total,2025-10-01,Historical,2827.7,,,Pooled Ridge v13,,,,,
Metro Vancouver,Total,2025-11-01,Historical,3168.3,,,Pooled Ridge v13,,,,,
Metro Vancouver,Total,2025-12-01,Historical,3230.3,,,Pooled Ridge v13,,,,,
Metro Vancouver,Total,2026-01-01,Forecast,3011.5,1702.1,3379.2,Pooled Ridge v13,2131.1,3176.6,2533.6,2975.0,"Conformal (pooled, holdout-calibrated)"
Metro Vancouver,Total,2026-02-01,Forecast,2741.7,1432.3,3109.4,Pooled Ridge v13,1861.3,2906.8,2263.8,2705.2,"Conformal (pooled, holdout-calibrated)"
Metro Vancouver,Total,2026-03-01,Forecast,2533.6,1224.2,2901.3,Pooled Ridge v13,1653.2,2698.7,2055.7,2497.1,"Conformal (pooled, holdout-calibrated)"
Metro Vancouver,Total,2026-04-01,Forecast,2496.2,995.9,3903.1,Pooled Ridge v13,1768.4,3174.1,2043.1,2794.0,"Conformal (pooled, holdout-calibrated)"
Metro Vancouver,Total,2026-05-01,Forecast,2558.2,1057.8,3965.0,Pooled Ridge v13,1830.3,3236.0,2105.1,2856.0,"Conformal (pooled, holdout-calibrated)"
Metro Vancouver,Total,2026-06-01,Forecast,2681.0,1180.6,4087.9,Pooled Ridge v13,1953.2,3358.9,2227.9,2978.8,"Conformal (pooled, holdout-calibrated)"
Metro Vancouver,Total,2026-07-01,Forecast,2811.3,1128.8,3908.0,Pooled Ridge v13,1496.7,3604.4,2242.7,3044.0,"Conformal (pooled, holdout-calibrated)"
Metro Vancouver,Total,2026-08-01,Forecast,2938.9,1256.4,4035.5,Pooled Ridge v13,1624.2,3732.0,2370.3,3171.5,"Conformal (pooled, holdout-calibrated)"
Metro Vancouver,Total,2026-09-01,Forecast,3051.8,1369.3,4148.5,Pooled Ridge v13,1737.2,3844.9,2483.2,3284.5,"Conformal (pooled, holdout-calibrated)"
Metro Vancouver,Total,2026-10-01,Forecast,3116.8,1434.3,4213.5,Pooled Ridge v13,1802.2,3909.9,2548.2,3349.5,"Conformal (pooled, holdout-calibrated)"
Metro Vancouver,Total,2026-11-01,Forecast,3073.3,1390.8,4170.0,Pooled Ridge v13,1758.7,3866.4,2504.7,3305.9,"Conformal (pooled, holdout-calibrated)"
Metro Vancouver,Total,2026-12-01,Forecast,2971.7,1289.2,4068.4,Pooled Ridge v13,1657.1,3764.8,2403.1,3204.3,"Conformal (pooled, holdout-calibrated)"
Metro Vancouver,Total,2027-01-01,Forecast,2867.1,898.9,4150.0,Pooled Ridge v13,1329.2,3794.9,2201.9,3139.2,"Conformal (pooled, holdout-calibrated)"
Metro Vancouver,Total,2027-02-01,Forecast,2796.6,754.2,4127.9,Pooled Ridge v13,1200.7,3759.4,2106.4,3079.0,"Conformal (pooled, holdout-calibrated)"
Metro Vancouver,Total,2027-03-01,Forecast,2771.2,657.1,4149.2,Pooled Ridge v13,1119.3,3767.8,2056.7,3063.5,"Conformal (pooled, holdout-calibrated)"
Metro Vancouver,Total,2027-04-01,Forecast,2790.1,606.7,4213.4,Pooled Ridge v13,1084.0,3819.4,2052.2,3092.0,"Conformal (pooled, holdout-calibrated)"
Metro Vancouver,Total,2027-05-01,Forecast,2840.6,590.0,4307.7,Pooled Ridge v13,1082.1,3901.6,2080.0,3151.9,"Conformal (pooled, holdout-calibrated)"
Metro Vancouver,Total,2027-06-01,Forecast,2910.3,594.4,4419.9,Pooled Ridge v13,1100.7,4002.0,2127.6,3230.5,"Conformal (pooled, holdout-calibrated)"
Metro Vancouver,Total,2027-07-01,Forecast,2984.2,604.8,4535.1,Pooled Ridge v13,1125.0,4105.8,2180.1,3313.2,"Conformal (pooled, holdout-calibrated)"
Metro Vancouver,Total,2027-08-01,Forecast,3049.1,607.9,4640.3,Pooled Ridge v13,1141.7,4199.9,2224.1,3386.7,"Conformal (pooled, holdout-calibrated)"
Metro Vancouver,Total,2027-09-01,Forecast,3092.0,590.5,4722.5,Pooled Ridge v13,1137.4,4271.2,2246.6,3437.9,"Conformal (pooled, holdout-calibrated)"
Metro Vancouver,Total,2027-10-01,Forecast,3104.0,543.7,4772.9,Pooled Ridge v13,1103.5,4311.0,2238.8,3458.1,"Conformal (pooled, holdout-calibrated)"
Metro Vancouver,Total,2027-11-01,Forecast,3085.4,467.5,4791.8,Pooled Ridge v13,1039.8,4319.4,2200.7,3447.4,"Conformal (pooled, holdout-calibrated)"
Metro Vancouver,Total,2027-12-01,Forecast,3048.5,374.4,4791.7,Pooled Ridge v13,959.0,4309.2,2144.8,3418.3,"Conformal (pooled, holdout-calibrated)"
Metro Vancouver,Total,2028-01-01,Forecast,3007.8,315.8,4762.5,Pooled Ridge v13,904.4,4276.8,2098.0,3380.0,"Conformal (pooled, holdout-calibrated)"
Metro Vancouver,Total,2028-02-01,Forecast,2975.5,283.6,4730.2,Pooled Ridge v13,872.2,4244.5,2065.8,3347.8,"Conformal (pooled, holdout-calibrated)"
Metro Vancouver,Total,2028-03-01,Forecast,2960.3,268.4,4715.0,Pooled Ridge v13,856.9,4229.3,2050.6,3332.6,"Conformal (pooled, holdout-calibrated)"
Metro Vancouver,Total,2028-04-01,Forecast,2966.1,274.1,4720.8,Pooled Ridge v13,862.7,4235.1,2056.4,3338.3,"Conformal (pooled, holdout-calibrated)"
Metro Vancouver,Total,2028-05-01,Forecast,2991.6,299.7,4746.3,Pooled Ridge v13,888.2,4260.6,2081.9,3363.9,"Conformal (pooled, holdout-calibrated)"
Metro Vancouver,Total,2028-06-01,Forecast,3031.2,339.2,4785.9,Pooled Ridge v13,927.8,4300.2,2121.5,3403.4,"Conformal (pooled, holdout-calibrated)"
Metro Vancouver,Total,2028-07-01,Forecast,3075.8,383.9,4830.5,Pooled Ridge v13,972.5,4344.8,2166.1,3448.1,"Conformal (pooled, holdout-calibrated)"
Metro Vancouver,Total,2028-08-01,Forecast,3115.7,423.8,4870.4,Pooled Ridge v13,1012.3,4384.7,2206.0,3488.0,"Conformal (pooled, holdout-calibrated)"
Metro Vancouver,Total,2028-09-01,Forecast,3142.5,450.5,4897.2,Pooled Ridge v13,1039.1,4411.5,2232.7,3514.7,"Conformal (pooled, holdout-calibrated)"
Metro Vancouver,Total,2028-10-01,Forecast,3151.8,459.8,4906.5,Pooled Ridge v13,1048.4,4420.8,2242.1,3524.0,"Conformal (pooled, holdout-calibrated)"
Metro Vancouver,Total,2028-11-01,Forecast,3144.2,452.3,4898.9,Pooled Ridge v13,1040.8,4413.2,2234.5,3516.5,"Conformal (pooled, holdout-calibrated)"
Metro Vancouver,Total,2028-12-01,Forecast,3124.7,432.7,4879.4,Pooled Ridge v13,1021.3,4393.7,2214.9,3496.9,"Conformal (pooled, holdout-calibrated)"
Nanaimo,Total,2020-01-01,Historical,120.0,,,Pooled Ridge v13,,,,,
Nanaimo,Total,2020-02-01,Historical,85.0,,,Pooled Ridge v13,,,,,
Nanaimo,Total,2020-03-01,Historical,120.7,,,Pooled Ridge v13,,,,,
Nanaimo,Total,2020-04-01,Historical,91.7,,,Pooled Ridge v13,,,,,
Nanaimo,Total,2020-05-01,Historical,83.7,,,Pooled Ridge v13,,,,,
Nanaimo,Total,2020-06-01,Historical,63.3,,,Pooled Ridge v13,,,,,
Nanaimo,Total,2020-07-01,Historical,67.7,,,Pooled Ridge v13,,,,,
Nanaimo,Total,2020-08-01,Historical,90.7,,,Pooled Ridge v13,,,,,
Nanaimo,Total,2020-09-01,Historical,92.7,,,Pooled Ridge v13,,,,,
Nanaimo,Total,2020-10-01,Historical,88.3,,,Pooled Ridge v13,,,,,
Nanaimo,Total,2020-11-01,Historical,73.0,,,Pooled Ridge v13,,,,,
Nanaimo,Total,2020-12-01,Historical,67.3,,,Pooled Ridge v13,,,,,
Nanaimo,Total,2021-01-01,Historical,79.0,,,Pooled Ridge v13,,,,,
Nanaimo,Total,2021-02-01,Historical,73.7,,,Pooled Ridge v13,,,,,
Nanaimo,Total,2021-03-01,Historical,75.7,,,Pooled Ridge v13,,,,,
Nanaimo,Total,2021-04-01,Historical,69.3,,,Pooled Ridge v13,,,,,
Nanaimo,Total,2021-05-01,Historical,89.0,,,Pooled Ridge v13,,,,,
Nanaimo,Total,2021-06-01,Historical,56.0,,,Pooled Ridge v13,,,,,
Nanaimo,Total,2021-07-01,Historical,58.3,,,Pooled Ridge v13,,,,,
Nanaimo,Total,2021-08-01,Historical,59.0,,,Pooled Ridge v13,,,,,
Nanaimo,Total,2021-09-01,Historical,96.3,,,Pooled Ridge v13,,,,,
Nanaimo,Total,2021-10-01,Historical,97.3,,,Pooled Ridge v13,,,,,
Nanaimo,Total,2021-11-01,Historical,76.3,,,Pooled Ridge v13,,,,,
Nanaimo,Total,2021-12-01,Historical,55.3,,,Pooled Ridge v13,,,,,
Nanaimo,Total,2022-01-01,Historical,48.3,,,Pooled Ridge v13,,,,,
Nanaimo,Total,2022-02-01,Historical,57.3,,,Pooled Ridge v13,,,,,
Nanaimo,Total,2022-03-01,Historical,46.7,,,Pooled Ridge v13,,,,,
Nanaimo,Total,2022-04-01,Historical,42.7,,,Pooled Ridge v13,,,,,
Nanaimo,Total,2022-05-01,Historical,30.7,,,Pooled Ridge v13,,,,,
Nanaimo,Total,2022-06-01,Historical,22.7,,,Pooled Ridge v13,,,,,
Nanaimo,Total,2022-07-01,Historical,108.0,,,Pooled Ridge v13,,,,,
Nanaimo,Total,2022-08-01,Historical,111.7,,,Pooled Ridge v13,,,,,
Nanaimo,Total,2022-09-01,Historical,110.0,,,Pooled Ridge v13,,,,,
Nanaimo,Total,2022-10-01,Historical,23.3,,,Pooled Ridge v13,,,,,
Nanaimo,Total,2022-11-01,Historical,21.0,,,Pooled Ridge v13,,,,,
Nanaimo,Total,2022-12-01,Historical,65.3,,,Pooled Ridge v13,,,,,
Nanaimo,Total,2023-01-01,Historical,118.7,,,Pooled Ridge v13,,,,,
Nanaimo,Total,2023-02-01,Historical,146.3,,,Pooled Ridge v13,,,,,
Nanaimo,Total,2023-03-01,Historical,162.0,,,Pooled Ridge v13,,,,,
Nanaimo,Total,2023-04-01,Historical,123.3,,,Pooled Ridge v13,,,,,
Nanaimo,Total,2023-05-01,Historical,112.3,,,Pooled Ridge v13,,,,,
Nanaimo,Total,2023-06-01,Historical,64.3,,,Pooled Ridge v13,,,,,
Nanaimo,Total,2023-07-01,Historical,56.0,,,Pooled Ridge v13,,,,,
Nanaimo,Total,2023-08-01,Historical,45.7,,,Pooled Ridge v13,,,,,
Nanaimo,Total,2023-09-01,Historical,65.3,,,Pooled Ridge v13,,,,,
Nanaimo,Total,2023-10-01,Historical,62.0,,,Pooled Ridge v13,,,,,
Nanaimo,Total,2023-11-01,Historical,95.7,,,Pooled Ridge v13,,,,,
Nanaimo,Total,2023-12-01,Historical,69.7,,,Pooled Ridge v13,,,,,
Nanaimo,Total,2024-01-01,Historical,132.3,,,Pooled Ridge v13,,,,,
Nanaimo,Total,2024-02-01,Historical,116.0,,,Pooled Ridge v13,,,,,
Nanaimo,Total,2024-03-01,Historical,126.3,,,Pooled Ridge v13,,,,,
Nanaimo,Total,2024-04-01,Historical,53.3,,,Pooled Ridge v13,,,,,
Nanaimo,Total,2024-05-01,Historical,57.3,,,Pooled Ridge v13,,,,,
Nanaimo,Total,2024-06-01,Historical,102.7,,,Pooled Ridge v13,,,,,
Nanaimo,Total,2024-07-01,Historical,107.3,,,Pooled Ridge v13,,,,,
Nanaimo,Total,2024-08-01,Historical,168.0,,,Pooled Ridge v13,,,,,
Nanaimo,Total,2024-09-01,Historical,102.3,,,Pooled Ridge v13,,,,,
Nanaimo,Total,2024-10-01,Historical,133.3,,,Pooled Ridge v13,,,,,
Nanaimo,Total,2024-11-01,Historical,40.3,,,Pooled Ridge v13,,,,,
Nanaimo,Total,2024-12-01,Historical,41.3,,,Pooled Ridge v13,,,,,
Nanaimo,Total,2025-01-01,Historical,22.0,,,Pooled Ridge v13,,,,,
Nanaimo,Total,2025-02-01,Historical,27.7,,,Pooled Ridge v13,,,,,
Nanaimo,Total,2025-03-01,Historical,36.3,,,Pooled Ridge v13,,,,,
Nanaimo,Total,2025-04-01,Historical,33.3,,,Pooled Ridge v13,,,,,
Nanaimo,Total,2025-05-01,Historical,26.3,,,Pooled Ridge v13,,,,,
Nanaimo,Total,2025-06-01,Historical,23.0,,,Pooled Ridge v13,,,,,
Nanaimo,Total,2025-07-01,Historical,9.7,,,Pooled Ridge v13,,,,,
Nanaimo,Total,2025-08-01,Historical,100.7,,,Pooled Ridge v13,,,,,
Nanaimo,Total,2025-09-01,Historical,116.3,,,Pooled Ridge v13,,,,,
Nanaimo,Total,2025-10-01,Historical,145.0,,,Pooled Ridge v13,,,,,
Nanaimo,Total,2025-11-01,Historical,59.3,,,Pooled Ridge v13,,,,,
Nanaimo,Total,2025-12-01,Historical,40.7,,,Pooled Ridge v13,,,,,
Nanaimo,Total,2026-01-01,Forecast,26.7,0.0,49.4,Pooled Ridge v13,0.0,36.9,0.0,24.5,"Conformal (pooled, holdout-calibrated)"
Nanaimo,Total,2026-02-01,Forecast,44.0,0.0,66.6,Pooled Ridge v13,0.0,54.2,14.6,41.7,"Conformal (pooled, holdout-calibrated)"
Nanaimo,Total,2026-03-01,Forecast,58.2,0.0,80.9,Pooled Ridge v13,4.0,68.4,28.8,56.0,"Conformal (pooled, holdout-calibrated)"
Nanaimo,Total,2026-04-01,Forecast,68.5,0.0,155.1,Pooled Ridge v13,23.6,110.2,40.6,86.8,"Conformal (pooled, holdout-calibrated)"
Nanaimo,Total,2026-05-01,Forecast,71.0,0.0,157.6,Pooled Ridge v13,26.1,112.7,43.0,89.3,"Conformal (pooled, holdout-calibrated)"
Nanaimo,Total,2026-06-01,Forecast,71.7,0.0,158.4,Pooled Ridge v13,26.9,113.5,43.8,90.0,"Conformal (pooled, holdout-calibrated)"
Nanaimo,Total,2026-07-01,Forecast,73.7,0.0,141.2,Pooled Ridge v13,0.0,122.5,38.7,88.0,"Conformal (pooled, holdout-calibrated)"
Nanaimo,Total,2026-08-01,Forecast,79.7,0.0,147.3,Pooled Ridge v13,0.0,128.6,44.7,94.1,"Conformal (pooled, holdout-calibrated)"
Nanaimo,Total,2026-09-01,Forecast,79.5,0.0,147.1,Pooled Ridge v13,0.0,128.4,44.5,93.9,"Conformal (pooled, holdout-calibrated)"
Nanaimo,Total,2026-10-01,Forecast,77.3,0.0,144.8,Pooled Ridge v13,0.0,126.1,42.2,91.6,"Conformal (pooled, holdout-calibrated)"
Nanaimo,Total,2026-11-01,Forecast,70.6,0.0,138.2,Pooled Ridge v13,0.0,119.5,35.6,85.0,"Conformal (pooled, holdout-calibrated)"
Nanaimo,Total,2026-12-01,Forecast,70.6,0.0,138.2,Pooled Ridge v13,0.0,119.5,35.6,85.0,"Conformal (pooled, holdout-calibrated)"
Nanaimo,Total,2027-01-01,Forecast,72.1,0.0,151.2,Pooled Ridge v13,0.0,129.3,31.2,88.9,"Conformal (pooled, holdout-calibrated)"
Nanaimo,Total,2027-02-01,Forecast,75.3,0.0,157.3,Pooled Ridge v13,0.0,134.6,32.8,92.7,"Conformal (pooled, holdout-calibrated)"
Nanaimo,Total,2027-03-01,Forecast,77.7,0.0,162.6,Pooled Ridge v13,0.0,139.1,33.7,95.8,"Conformal (pooled, holdout-calibrated)"
Nanaimo,Total,2027-04-01,Forecast,79.7,0.0,167.3,Pooled Ridge v13,0.0,143.1,34.2,98.3,"Conformal (pooled, holdout-calibrated)"
Nanaimo,Total,2027-05-01,Forecast,81.3,0.0,171.7,Pooled Ridge v13,0.0,146.6,34.4,100.5,"Conformal (pooled, holdout-calibrated)"
Nanaimo,Total,2027-06-01,Forecast,83.3,0.0,176.3,Pooled Ridge v13,0.0,150.5,35.1,103.0,"Conformal (pooled, holdout-calibrated)"
Nanaimo,Total,2027-07-01,Forecast,85.6,0.0,181.2,Pooled Ridge v13,0.0,154.7,36.1,105.9,"Conformal (pooled, holdout-calibrated)"
Nanaimo,Total,2027-08-01,Forecast,88.0,0.0,186.0,Pooled Ridge v13,0.0,158.9,37.2,108.8,"Conformal (pooled, holdout-calibrated)"
Nanaimo,Total,2027-09-01,Forecast,89.6,0.0,190.0,Pooled Ridge v13,0.0,162.2,37.5,110.9,"Conformal (pooled, holdout-calibrated)"
Nanaimo,Total,2027-10-01,Forecast,90.7,0.0,193.5,Pooled Ridge v13,0.0,165.0,37.4,112.5,"Conformal (pooled, holdout-calibrated)"
Nanaimo,Total,2027-11-01,Forecast,91.2,0.0,196.3,Pooled Ridge v13,0.0,167.2,36.7,113.5,"Conformal (pooled, holdout-calibrated)"
Nanaimo,Total,2027-12-01,Forecast,91.8,0.0,199.2,Pooled Ridge v13,0.0,169.5,36.2,114.6,"Conformal (pooled, holdout-calibrated)"
Nanaimo,Total,2028-01-01,Forecast,92.2,0.0,200.3,Pooled Ridge v13,0.0,170.4,36.2,115.1,"Conformal (pooled, holdout-calibrated)"
Nanaimo,Total,2028-02-01,Forecast,92.5,0.0,200.6,Pooled Ridge v13,0.0,170.7,36.5,115.4,"Conformal (pooled, holdout-calibrated)"
Nanaimo,Total,2028-03-01,Forecast,93.0,0.0,201.0,Pooled Ridge v13,0.0,171.1,36.9,115.9,"Conformal (pooled, holdout-calibrated)"
Nanaimo,Total,2028-04-01,Forecast,93.8,0.0,201.9,Pooled Ridge v13,0.0,172.0,37.8,116.7,"Conformal (pooled, holdout-calibrated)"
Nanaimo,Total,2028-05-01,Forecast,95.2,0.0,203.2,Pooled Ridge v13,0.0,173.3,39.1,118.1,"Conformal (pooled, holdout-calibrated)"
Nanaimo,Total,2028-06-01,Forecast,97.0,0.0,205.1,Pooled Ridge v13,0.0,175.2,41.0,119.9,"Conformal (pooled, holdout-calibrated)"
Nanaimo,Total,2028-07-01,Forecast,99.1,0.0,207.1,Pooled Ridge v13,0.0,177.2,43.0,122.0,"Conformal (pooled, holdout-calibrated)"
Nanaimo,Total,2028-08-01,Forecast,101.1,0.0,209.1,Pooled Ridge v13,0.0,179.2,45.0,124.0,"Conformal (pooled, holdout-calibrated)"
Nanaimo,Total,2028-09-01,Forecast,102.7,0.0,210.8,Pooled Ridge v13,0.0,180.9,46.7,125.6,"Conformal (pooled, holdout-calibrated)"
Nanaimo,Total,2028-10-01,Forecast,103.9,0.0,211.9,Pooled Ridge v13,0.0,182.0,47.8,126.8,"Conformal (pooled, holdout-calibrated)"
Nanaimo,Total,2028-11-01,Forecast,104.5,0.0,212.6,Pooled Ridge v13,0.0,182.7,48.5,127.4,"Conformal (pooled, holdout-calibrated)"
Nanaimo,Total,2028-12-01,Forecast,104.7,0.0,212.8,Pooled Ridge v13,0.0,182.9,48.7,127.7,"Conformal (pooled, holdout-calibrated)"
Thompson-Nicola,Total,2020-01-01,Historical,37.0,,,Pooled Ridge v13,,,,,
Thompson-Nicola,Total,2020-02-01,Historical,59.5,,,Pooled Ridge v13,,,,,
Thompson-Nicola,Total,2020-03-01,Historical,70.7,,,Pooled Ridge v13,,,,,
Thompson-Nicola,Total,2020-04-01,Historical,94.0,,,Pooled Ridge v13,,,,,
Thompson-Nicola,Total,2020-05-01,Historical,109.7,,,Pooled Ridge v13,,,,,
Thompson-Nicola,Total,2020-06-01,Historical,88.7,,,Pooled Ridge v13,,,,,
Thompson-Nicola,Total,2020-07-01,Historical,88.7,,,Pooled Ridge v13,,,,,
Thompson-Nicola,Total,2020-08-01,Historical,61.3,,,Pooled Ridge v13,,,,,
