Regional_District,Target_Type,Date,Scenario,Completions_Value
Metro Vancouver,Single,2027-12-01,Downside_+100bp,180.2
Metro Vancouver,Single,2028-01-01,Downside_+100bp,177.5
Metro Vancouver,Single,2028-02-01,Downside_+100bp,175.9
Metro Vancouver,Single,2028-03-01,Downside_+100bp,175.3
Metro Vancouver,Single,2028-04-01,Downside_+100bp,175.9
Metro Vancouver,Single,2028-05-01,Downside_+100bp,177.2
Metro Vancouver,Single,2028-06-01,Downside_+100bp,178.7
Metro Vancouver,Single,2028-07-01,Downside_+100bp,180.0
Metro Vancouver,Single,2028-08-01,Downside_+100bp,180.6
Metro Vancouver,Single,2028-09-01,Downside_+100bp,180.5
Metro Vancouver,Single,2028-10-01,Downside_+100bp,179.6
Metro Vancouver,Single,2028-11-01,Downside_+100bp,178.3
Metro Vancouver,Single,2028-12-01,Downside_+100bp,176.8
Metro Vancouver,Single,2026-01-01,Upside_-100bp,218.1
Metro Vancouver,Single,2026-02-01,Upside_-100bp,208.9
Metro Vancouver,Single,2026-03-01,Upside_-100bp,185.7
Metro Vancouver,Single,2026-04-01,Upside_-100bp,175.7
Metro Vancouver,Single,2026-05-01,Upside_-100bp,172.8
Metro Vancouver,Single,2026-06-01,Upside_-100bp,178.3
Metro Vancouver,Single,2026-07-01,Upside_-100bp,185.4
Metro Vancouver,Single,2026-08-01,Upside_-100bp,191.9
Metro Vancouver,Single,2026-09-01,Upside_-100bp,194.9
Metro Vancouver,Single,2026-10-01,Upside_-100bp,196.4
Metro Vancouver,Single,2026-11-01,Upside_-100bp,193.8
Metro Vancouver,Single,2026-12-01,Upside_-100bp,190.7
Metro Vancouver,Single,2027-01-01,Upside_-100bp,183.2
Metro Vancouver,Single,2027-02-01,Upside_-100bp,178.0
Metro Vancouver,Single,2027-03-01,Upside_-100bp,174.9
Metro Vancouver,Single,2027-04-01,Upside_-100bp,175.2
Metro Vancouver,Single,2027-05-01,Upside_-100bp,177.6
Metro Vancouver,Single,2027-06-01,Upside_-100bp,181.0
Metro Vancouver,Single,2027-07-01,Upside_-100bp,184.0
Metro Vancouver,Single,2027-08-01,Upside_-100bp,185.8
Metro Vancouver,Single,2027-09-01,Upside_-100bp,186.0
Metro Vancouver,Single,2027-10-01,Upside_-100bp,184.8
Metro Vancouver,Single,2027-11-01,Upside_-100bp,182.4
Metro Vancouver,Single,2027-12-01,Upside_-100bp,179.5
Metro Vancouver,Single,2028-01-01,Upside_-100bp,176.8
Metro Vancouver,Single,2028-02-01,Upside_-100bp,175.2
Metro Vancouver,Single,2028-03-01,Upside_-100bp,174.6
Metro Vancouver,Single,2028-04-01,Upside_-100bp,175.2
Metro Vancouver,Single,2028-05-01,Upside_-100bp,176.5
Metro Vancouver,Single,2028-06-01,Upside_-100bp,178.0
Metro Vancouver,Single,2028-07-01,Upside_-100bp,179.3
Metro Vancouver,Single,2028-08-01,Upside_-100bp,179.9
Metro Vancouver,Single,2028-09-01,Upside_-100bp,179.8
Metro Vancouver,Single,2028-10-01,Upside_-100bp,178.9
Metro Vancouver,Single,2028-11-01,Upside_-100bp,177.6
Metro Vancouver,Single,2028-12-01,Upside_-100bp,176.0
Nanaimo,Single,2026-01-01,Baseline,11.6
Nanaimo,Single,2026-02-01,Baseline,10.2
Nanaimo,Single,2026-03-01,Baseline,9.5
Nanaimo,Single,2026-04-01,Baseline,9.5
Nanaimo,Single,2026-05-01,Baseline,9.7
Nanaimo,Single,2026-06-01,Baseline,10.2
Nanaimo,Single,2026-07-01,Baseline,10.6
Nanaimo,Single,2026-08-01,Baseline,11.4
Nanaimo,Single,2026-09-01,Baseline,11.6
Nanaimo,Single,2026-10-01,Baseline,11.7
Nanaimo,Single,2026-11-01,Baseline,11.2
Nanaimo,Single,2026-12-01,Baseline,10.7
Nanaimo,Single,2027-01-01,Baseline,10.3
Nanaimo,Single,2027-02-01,Baseline,10.1
Nanaimo,Single,2027-03-01,Baseline,10.1
Nanaimo,Single,2027-04-01,Baseline,10.2
Nanaimo,Single,2027-05-01,Baseline,10.4
Nanaimo,Single,2027-06-01,Baseline,10.6
Nanaimo,Single,2027-07-01,Baseline,10.7
Nanaimo,Single,2027-08-01,Baseline,10.9
Nanaimo,Single,2027-09-01,Baseline,10.8
Nanaimo,Single,2027-10-01,Baseline,10.7
Nanaimo,Single,2027-11-01,Baseline,10.6
Nanaimo,Single,2027-12-01,Baseline,10.4
Nanaimo,Single,2028-01-01,Baseline,10.3
Nanaimo,Single,2028-02-01,Baseline,10.2
Nanaimo,Single,2028-03-01,Baseline,10.2
Nanaimo,Single,2028-04-01,Baseline,10.2
Nanaimo,Single,2028-05-01,Baseline,10.3
Nanaimo,Single,2028-06-01,Baseline,10.4
Nanaimo,Single,2028-07-01,Baseline,10.4
Nanaimo,Single,2028-08-01,Baseline,10.5
Nanaimo,Single,2028-09-01,Baseline,10.5
Nanaimo,Single,2028-10-01,Baseline,10.4
Nanaimo,Single,2028-11-01,Baseline,10.3
Nanaimo,Single,2028-12-01,Baseline,10.3
Nanaimo,Single,2026-01-01,Downside_+100bp,11.6
Nanaimo,Single,2026-02-01,Downside_+100bp,10.2
Nanaimo,Single,2026-03-01,Downside_+100bp,9.5
Nanaimo,Single,2026-04-01,Downside_+100bp,9.5
Nanaimo,Single,2026-05-01,Downside_+100bp,9.7
Nanaimo,Single,2026-06-01,Downside_+100bp,10.2
Nanaimo,Single,2026-07-01,Downside_+100bp,10.6
Nanaimo,Single,2026-08-01,Downside_+100bp,11.4
Nanaimo,Single,2026-09-01,Downside_+100bp,11.7
Nanaimo,Single,2026-10-01,Downside_+100bp,11.7
Nanaimo,Single,2026-11-01,Downside_+100bp,11.3
Nanaimo,Single,2026-12-01,Downside_+100bp,10.7
Nanaimo,Single,2027-01-01,Downside_+100bp,10.4
Nanaimo,Single,2027-02-01,Downside_+100bp,10.1
Nanaimo,Single,2027-03-01,Downside_+100bp,10.1
Nanaimo,Single,2027-04-01,Downside_+100bp,10.2
Nanaimo,Single,2027-05-01,Downside_+100bp,10.4
Nanaimo,Single,2027-06-01,Downside_+100bp,10.6
Nanaimo,Single,2027-07-01,Downside_+100bp,10.8
Nanaimo,Single,2027-08-01,Downside_+100bp,10.9
Nanaimo,Single,2027-09-01,Downside_+100bp,10.9
Nanaimo,Single,2027-10-01,Downside_+100bp,10.7
Nanaimo,Single,2027-11-01,Downside_+100bp,10.6
Nanaimo,Single,2027-12-01,Downside_+100bp,10.4
Nanaimo,Single,2028-01-01,Downside_+100bp,10.3
Nanaimo,Single,2028-02-01,Downside_+100bp,10.2
Nanaimo,Single,2028-03-01,Downside_+100bp,10.2
Nanaimo,Single,2028-04-01,Downside_+100bp,10.2
Nanaimo,Single,2028-05-01,Downside_+100bp,10.3
Nanaimo,Single,2028-06-01,Downside_+100bp,10.4
Nanaimo,Single,2028-07-01,Downside_+100bp,10.5
Nanaimo,Single,2028-08-01,Downside_+100bp,10.5
Nanaimo,Single,2028-09-01,Downside_+100bp,10.5
Nanaimo,Single,2028-10-01,Downside_+100bp,10.4
Nanaimo,Single,2028-11-01,Downside_+100bp,10.4
Nanaimo,Single,2028-12-01,Downside_+100bp,10.3
Nanaimo,Single,2026-01-01,Upside_-100bp,11.6
Nanaimo,Single,2026-02-01,Upside_-100bp,10.2
Nanaimo,Single,2026-03-01,Upside_-100bp,9.5
Nanaimo,Single,2026-04-01,Upside_-100bp,9.5
Nanaimo,Single,2026-05-01,Upside_-100bp,9.7
Nanaimo,Single,2026-06-01,Upside_-100bp,10.2
Nanaimo,Single,2026-07-01,Upside_-100bp,10.6
Nanaimo,Single,2026-08-01,Upside_-100bp,11.4
Nanaimo,Single,2026-09-01,Upside_-100bp,11.6
Nanaimo,Single,2026-10-01,Upside_-100bp,11.7
Nanaimo,Single,2026-11-01,Upside_-100bp,11.2
Nanaimo,Single,2026-12-01,Upside_-100bp,10.7
Nanaimo,Single,2027-01-01,Upside_-100bp,10.3
Nanaimo,Single,2027-02-01,Upside_-100bp,10.1
Nanaimo,Single,2027-03-01,Upside_-100bp,10.1
Nanaimo,Single,2027-04-01,Upside_-100bp,10.2
Nanaimo,Single,2027-05-01,Upside_-100bp,10.4
Nanaimo,Single,2027-06-01,Upside_-100bp,10.6
Nanaimo,Single,2027-07-01,Upside_-100bp,10.7
Nanaimo,Single,2027-08-01,Upside_-100bp,10.8
Nanaimo,Single,2027-09-01,Upside_-100bp,10.8
Nanaimo,Single,2027-10-01,Upside_-100bp,10.7
Nanaimo,Single,2027-11-01,Upside_-100bp,10.5
Nanaimo,Single,2027-12-01,Upside_-100bp,10.4
Nanaimo,Single,2028-01-01,Upside_-100bp,10.2
Nanaimo,Single,2028-02-01,Upside_-100bp,10.2
Nanaimo,Single,2028-03-01,Upside_-100bp,10.2
Nanaimo,Single,2028-04-01,Upside_-100bp,10.2
Nanaimo,Single,2028-05-01,Upside_-100bp,10.3
Nanaimo,Single,2028-06-01,Upside_-100bp,10.4
Nanaimo,Single,2028-07-01,Upside_-100bp,10.4
Nanaimo,Single,2028-08-01,Upside_-100bp,10.5
Nanaimo,Single,2028-09-01,Upside_-100bp,10.4
Nanaimo,Single,2028-10-01,Upside_-100bp,10.4
Nanaimo,Single,2028-11-01,Upside_-100bp,10.3
Nanaimo,Single,2028-12-01,Upside_-100bp,10.2
Thompson-Nicola,Single,2026-01-01,Baseline,4.3
Thompson-Nicola,Single,2026-02-01,Baseline,3.2
Thompson-Nicola,Single,2026-03-01,Baseline,2.3
Thompson-Nicola,Single,2026-04-01,Baseline,1.8
Thompson-Nicola,Single,2026-05-01,Baseline,1.9
Thompson-Nicola,Single,2026-06-01,Baseline,2.7
Thompson-Nicola,Single,2026-07-01,Baseline,3.1
Thompson-Nicola,Single,2026-08-01,Baseline,3.3
Thompson-Nicola,Single,2026-09-01,Baseline,3.3
Thompson-Nicola,Single,2026-10-01,Baseline,3.2
Thompson-Nicola,Single,2026-11-01,Baseline,3.0
Thompson-Nicola,Single,2026-12-01,Baseline,2.7
Thompson-Nicola,Single,2027-01-01,Baseline,2.5
Thompson-Nicola,Single,2027-02-01,Baseline,2.3
Thompson-Nicola,Single,2027-03-01,Baseline,2.2
Thompson-Nicola,Single,2027-04-01,Baseline,2.2
Thompson-Nicola,Single,2027-05-01,Baseline,2.3
Thompson-Nicola,Single,2027-06-01,Baseline,2.3
Thompson-Nicola,Single,2027-07-01,Baseline,2.3
Thompson-Nicola,Single,2027-08-01,Baseline,2.3
Thompson-Nicola,Single,2027-09-01,Baseline,2.3
Thompson-Nicola,Single,2027-10-01,Baseline,2.2
Thompson-Nicola,Single,2027-11-01,Baseline,2.1
Thompson-Nicola,Single,2027-12-01,Baseline,2.1
Thompson-Nicola,Single,2028-01-01,Baseline,2.0
Thompson-Nicola,Single,2028-02-01,Baseline,2.0
Thompson-Nicola,Single,2028-03-01,Baseline,1.9
Thompson-Nicola,Single,2028-04-01,Baseline,1.9
Thompson-Nicola,Single,2028-05-01,Baseline,1.9
Thompson-Nicola,Single,2028-06-01,Baseline,1.9
Thompson-Nicola,Single,2028-07-01,Baseline,1.9
Thompson-Nicola,Single,2028-08-01,Baseline,1.9
Thompson-Nicola,Single,2028-09-01,Baseline,1.9
Thompson-Nicola,Single,2028-10-01,Baseline,1.9
Thompson-Nicola,Single,2028-11-01,Baseline,1.8
Thompson-Nicola,Single,2028-12-01,Baseline,1.8
Thompson-Nicola,Single,2026-01-01,Downside_+100bp,4.3
Thompson-Nicola,Single,2026-02-01,Downside_+100bp,3.2
Thompson-Nicola,Single,2026-03-01,Downside_+100bp,2.3
Thompson-Nicola,Single,2026-04-01,Downside_+100bp,1.8
Thompson-Nicola,Single,2026-05-01,Downside_+100bp,1.9
Thompson-Nicola,Single,2026-06-01,Downside_+100bp,2.7
Thompson-Nicola,Single,2026-07-01,Downside_+100bp,3.1
Thompson-Nicola,Single,2026-08-01,Downside_+100bp,3.3
Thompson-Nicola,Single,2026-09-01,Downside_+100bp,3.3
Thompson-Nicola,Single,2026-10-01,Downside_+100bp,3.2
Thompson-Nicola,Single,2026-11-01,Downside_+100bp,3.0
Thompson-Nicola,Single,2026-12-01,Downside_+100bp,2.7
Thompson-Nicola,Single,2027-01-01,Downside_+100bp,2.5
Thompson-Nicola,Single,2027-02-01,Downside_+100bp,2.3
Thompson-Nicola,Single,2027-03-01,Downside_+100bp,2.3
Thompson-Nicola,Single,2027-04-01,Downside_+100bp,2.2
Thompson-Nicola,Single,2027-05-01,Downside_+100bp,2.3
Thompson-Nicola,Single,2027-06-01,Downside_+100bp,2.3
Thompson-Nicola,Single,2027-07-01,Downside_+100bp,2.3
Thompson-Nicola,Single,2027-08-01,Downside_+100bp,2.3
Thompson-Nicola,Single,2027-09-01,Downside_+100bp,2.3
Thompson-Nicola,Single,2027-10-01,Downside_+100bp,2.2
Thompson-Nicola,Single,2027-11-01,Downside_+100bp,2.1
Thompson-Nicola,Single,2027-12-01,Downside_+100bp,2.1
Thompson-Nicola,Single,2028-01-01,Downside_+100bp,2.0
Thompson-Nicola,Single,2028-02-01,Downside_+100bp,2.0
Thompson-Nicola,Single,2028-03-01,Downside_+100bp,1.9
Thompson-Nicola,Single,2028-04-01,Downside_+100bp,1.9
Thompson-Nicola,Single,2028-05-01,Downside_+100bp,1.9
Thompson-Nicola,Single,2028-06-01,Downside_+100bp,1.9
Thompson-Nicola,Single,2028-07-01,Downside_+100bp,1.9
Thompson-Nicola,Single,2028-08-01,Downside_+100bp,1.9
Thompson-Nicola,Single,2028-09-01,Downside_+100bp,1.9
Thompson-Nicola,Single,2028-10-01,Downside_+100bp,1.9
Thompson-Nicola,Single,2028-11-01,Downside_+100bp,1.8
Thompson-Nicola,Single,2028-12-01,Downside_+100bp,1.8
Thompson-Nicola,Single,2026-01-01,Upside_-100bp,4.3
Thompson-Nicola,Single,2026-02-01,Upside_-100bp,3.2
Thompson-Nicola,Single,2026-03-01,Upside_-100bp,2.3
Thompson-Nicola,Single,2026-04-01,Upside_-100bp,1.8
Thompson-Nicola,Single,2026-05-01,Upside_-100bp,1.9
Thompson-Nicola,Single,2026-06-01,Upside_-100bp,2.7
Thompson-Nicola,Single,2026-07-01,Upside_-100bp,3.1
Thompson-Nicola,Single,2026-08-01,Upside_-100bp,3.3
Thompson-Nicola,Single,2026-09-01,Upside_-100bp,3.3
Thompson-Nicola,Single,2026-10-01,Upside_-100bp,3.2
Thompson-Nicola,Single,2026-11-01,Upside_-100bp,3.0
Thompson-Nicola,Single,2026-12-01,Upside_-100bp,2.7
Thompson-Nicola,Single,2027-01-01,Upside_-100bp,2.5
Thompson-Nicola,Single,2027-02-01,Upside_-100bp,2.3
Thompson-Nicola,Single,2027-03-01,Upside_-100bp,2.2
Thompson-Nicola,Single,2027-04-01,Upside_-100bp,2.2
Thompson-Nicola,Single,2027-05-01,Upside_-100bp,2.3
Thompson-Nicola,Single,2027-06-01,Upside_-100bp,2.3
Thompson-Nicola,Single,2027-07-01,Upside_-100bp,2.3
Thompson-Nicola,Single,2027-08-01,Upside_-100bp,2.3
Thompson-Nicola,Single,2027-09-01,Upside_-100bp,2.3
Thompson-Nicola,Single,2027-10-01,Upside_-100bp,2.2
Thompson-Nicola,Single,2027-11-01,Upside_-100bp,2.1
Thompson-Nicola,Single,2027-12-01,Upside_-100bp,2.1
Thompson-Nicola,Single,2028-01-01,Upside_-100bp,2.0
Thompson-Nicola,Single,2028-02-01,Upside_-100bp,2.0
Thompson-Nicola,Single,2028-03-01,Upside_-100bp,1.9
Thompson-Nicola,Single,2028-04-01,Upside_-100bp,1.9
Thompson-Nicola,Single,2028-05-01,Upside_-100bp,1.9
Thompson-Nicola,Single,2028-06-01,Upside_-100bp,1.9
Thompson-Nicola,Single,2028-07-01,Upside_-100bp,1.9
Thompson-Nicola,Single,2028-08-01,Upside_-100bp,1.9
Thompson-Nicola,Single,2028-09-01,Upside_-100bp,1.9
Thompson-Nicola,Single,2028-10-01,Upside_-100bp,1.9
Thompson-Nicola,Single,2028-11-01,Upside_-100bp,1.8
Thompson-Nicola,Single,2028-12-01,Upside_-100bp,1.8
